Population code	Population name	Population description	Superpopulation code	Superpopulation name	Project
ACB	African Caribbean in Barbados	African Caribbean in Barbados	AFR	African	1000 Genomes Project
ASW	African Ancestry in Southwest US	African Ancestry in Southwest US	AFR	African	1000 Genomes Project
BEB	Bengali in Bangladesh	Bengali in Bangladesh	SAS	South Asian	1000 Genomes Project
CDX	Chinese Dai in Xishuangbanna, China	Chinese Dai in Xishuangbanna, China	EAS	East Asian	1000 Genomes Project
CEU	Utah residents (CEPH) with Northern and Western European ancestry	Utah residents (CEPH) with Northern and Western European ancestry	EUR	European	1000 Genomes Project
CHB	Han Chinese in Beijing, China	Han Chinese in Beijing, China	EAS	East Asian	1000 Genomes Project
CHS	Han Chinese South	Han Chinese South	EAS	East Asian	1000 Genomes Project
CLM	Colombian in Medellin, Colombia	Colombian in Medellin, Colombia	AMR	Latin or Admixed American	1000 Genomes Project
ESN	Esan in Nigeria	Esan in Nigeria	AFR	African	1000 Genomes Project
FIN	Finnish in Finland	Finnish in Finland	EUR	European	1000 Genomes Project
GBR	British in England and Scotland	British in England and Scotland	EUR	European	1000 Genomes Project
GIH	Gujarati Indians in Houston, TX	Gujarati Indians in Houston, TX	SAS	South Asian	1000 Genomes Project
GWD	Gambian in Western Division, The Gambia - Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African	1000 Genomes Project
GWF	Gambian in Western Division, The Gambia - Fula	Gambian in Western Division, The Gambia - Fula	AFR	African	Gambian Genome Variation Project
GWJ	Gambian in Western Division, The Gambia - Jola	Gambian in Western Division, The Gambia - Jola	AFR	African	Gambian Genome Variation Project
GWW	Gambian in Western Division, The Gambia - Wolof	Gambian in Western Division, The Gambia - Wolof	AFR	African	Gambian Genome Variation Project
IBS	Iberian populations in Spain	Iberian populations in Spain	EUR	European	1000 Genomes Project
ITU	Indian Telugu in the UK	Indian Telugu in the UK	SAS	South Asian	1000 Genomes Project
JPT	Japanese in Tokyo, Japan	Japanese in Tokyo, Japan	EAS	East Asian	1000 Genomes Project
KHV	Kinh in Ho Chi Minh City, Vietnam	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian	1000 Genomes Project
LWK	Luhya in Webuye, Kenya	Luhya in Webuye, Kenya	AFR	African	1000 Genomes Project
MKK	Masai in Kenya	Masai in Kenya	AFR	African	1000 Genomes Project
MSL	Mende in Sierra Leone	Mende in Sierra Leone	AFR	African	1000 Genomes Project
MXL	Mexican Ancestry in Los Angeles, California	Mexican Ancestry in Los Angeles, California	AMR	Latin or Admixed American	1000 Genomes Project
PEL	Peruvian in Lima, Peru	Peruvian in Lima, Peru	AMR	Latin or Admixed American	1000 Genomes Project
PJL	Punjabi in Lahore, Pakistan	Punjabi in Lahore, Pakistan	SAS	South Asian	1000 Genomes Project
PUR	Puerto Rican in Puerto Rico	Puerto Rican in Puerto Rico	AMR	Latin or Admixed American	1000 Genomes Project
STU	Sri Lankan Tamil in the UK	Sri Lankan Tamil in the UK	SAS	South Asian	1000 Genomes Project
TSI	Toscani in Italy	Toscani in Italy	EUR	European	1000 Genomes Project
YRI	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	AFR	African	1000 Genomes Project
