?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/HANCESTRO_0482>		
<http://dbpedia.org/resource/Pitcairn_Islands>		"GAZ:00005867"
<http://purl.obolibrary.org/obo/AfPO_0000379>	"A Luo population with a population size of 1.5 million"	
<http://purl.obolibrary.org/obo/HANCESTRO_0711>	"A population made up of 8 samples from Uygur individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Central South Asian."	
<http://purl.obolibrary.org/obo/AfPO_0000420>	"A Western African population with a population size of 1.5 millions"	
<http://purl.obolibrary.org/obo/AfPO_0000361>		
<http://dbpedia.org/resource/Fiji>		"GAZ:00006891"
<http://purl.obolibrary.org/obo/HANCESTRO_0288>		
<http://purl.obolibrary.org/obo/HANCESTRO_0749>	"A population made up of 2 samples from Uygur individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian."	
<http://dbpedia.org/resource/Russia>		"GAZ:00002721"
<http://dbpedia.org/resource/Marshall_Islands>		"GAZ:00007161"
<http://purl.obolibrary.org/obo/HANCESTRO_0397>		
<http://purl.obolibrary.org/obo/HANCESTRO_0373>		
<http://purl.obolibrary.org/obo/HANCESTRO_0022>		
<http://purl.obolibrary.org/obo/HANCESTRO_0851>	"Individuals who self-identify or are described by authors as Central Asian, without any reference to validated genetic ancestry information. This may include individuals from countries such as Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. It is a region of Asia bounded by the Caspian Sea to the southwest, European Russia to the northwest, Western China and Mongolia to the east, Afghanistan and Iran to the south, and Siberia to the north."	
<http://purl.obolibrary.org/obo/AfPO_0000127>	"A Bantu Eastern population with a population size of 2.488 Millions"	
<http://purl.obolibrary.org/obo/HANCESTRO_0046>		
<http://purl.obolibrary.org/obo/HANCESTRO_0003>	"A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states."	
<http://purl.obolibrary.org/obo/AfPO_0000254>	"A Malagasy population with a population size of 0.52 million"	
<http://dbpedia.org/resource/Melanesia>		"GAZ:00005860"
<http://purl.obolibrary.org/obo/HANCESTRO_0596>	"Includes individuals with ethnic origins in the Semitic people populating the Arabian Peninsula and other countries in the Middle East and Northern Africa"	
<http://purl.obolibrary.org/obo/AfPO_0000346>	"A Bantu Southern population with a population size of 0.3 million"	
<http://purl.obolibrary.org/obo/AfPO_0000345>	"A Bantu Southern population with a population size of 1 million"	
<http://purl.obolibrary.org/obo/HANCESTRO_0863>	"Individuals who self-identify or are reported by authors as Chicano or Mexian-American. This term used by some communities to describe themselves and some US government and other institutions on official forms used to collect demographic information"	
<http://purl.obolibrary.org/obo/HANCESTRO_0350>		
<http://dbpedia.org/resource/Italy>		"GAZ:00002650"
<http://purl.obolibrary.org/obo/AfPO_0000295>	"A Bantu Central population with a population size of 0.018 million"	
<http://purl.obolibrary.org/obo/AfPO_0000360>		
<http://purl.obolibrary.org/obo/AfPO_0000510>	"A Kalenjin population with a population size of 969000"	
<http://purl.obolibrary.org/obo/HANCESTRO_0289>		
<http://purl.obolibrary.org/obo/HANCESTRO_0398>		
<http://purl.obolibrary.org/obo/HANCESTRO_0374>		
<http://purl.obolibrary.org/obo/HANCESTRO_0483>		
<http://purl.obolibrary.org/obo/HANCESTRO_0686>	"A population made up of 130 samples from Peruvian individuals recruited in Lima, Peru as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American."	
<http://dbpedia.org/resource/Grenada>		"GAZ:02000573"
<http://purl.obolibrary.org/obo/HANCESTRO_0023>		
<http://purl.obolibrary.org/obo/HANCESTRO_0047>		
<http://purl.obolibrary.org/obo/AfPO_0000261>	"French people who were born in Metropolitan France."	
<http://dbpedia.org/resource/Nigeria>		"GAZ:00000912"
<http://purl.obolibrary.org/obo/AfPO_0000506>	"A Malagasy population with a population size of 1500"	
<http://purl.obolibrary.org/obo/AfPO_0000556>	"A Mande Western population with a population size of 240000"	
<http://purl.obolibrary.org/obo/HANCESTRO_0679>	"A population made up of 2 samples from Piapoco individuals recruited in Colombia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American."	
<http://dbpedia.org/resource/South_Sudan>		"GAZ:00233439"
<http://purl.obolibrary.org/obo/HANCESTRO_0460>		
<http://purl.obolibrary.org/obo/AfPO_0000284>	"A Pygmy Central population with a population size of 0.01 milion"	
<http://purl.obolibrary.org/obo/HANCESTRO_0641>	"A population made up of 2 samples from Bantu Kenya individuals recruited in Kenya as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African."	
<http://dbpedia.org/resource/Venezuela>		"GAZ:00002931"
<http://purl.obolibrary.org/obo/AfPO_0000305>	"A Semite Central, Semitic Eastern population with a population size of 6 million"	
<http://purl.obolibrary.org/obo/HANCESTRO_0720>	"A population made up of 8 samples from Mongolian individuals recruited in China as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian."	
<http://dbpedia.org/resource/Brunei>		"GAZ:00003901"
<http://purl.obolibrary.org/obo/AfPO_0000303>	"A Ubangi Central population with a population size of 0.122 million"	
<http://purl.obolibrary.org/obo/AfPO_0000297>	"A Bantu Central population with a population size of 25 millions"	
<http://purl.obolibrary.org/obo/AfPO_0000574>	"A Western African population with a population size of 1,224,545"	
<http://purl.obolibrary.org/obo/AfPO_0000161>	"A Mande Western population with a population size of 6.8 millions"	
<http://purl.obolibrary.org/obo/HANCESTRO_0399>		
<http://purl.obolibrary.org/obo/HANCESTRO_0375>		
<http://dbpedia.org/resource/Federated_States_of_Micronesia>		"GAZ:00006897"
<http://purl.obolibrary.org/obo/HANCESTRO_0484>		
<http://purl.obolibrary.org/obo/HANCESTRO_0351>		
<http://purl.obolibrary.org/obo/AfPO_0000189>		
