?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/BFO_0000141>	<http://www.w3.org/2000/01/rdf-schema#label>	"immaterial entity"@en	
<http://purl.obolibrary.org/obo/BFO_0000040>	<http://www.w3.org/2000/01/rdf-schema#label>	"material entity"@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"specifically dependent continuant"@en	
<http://purl.obolibrary.org/obo/BFO_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality"@en	
<http://purl.obolibrary.org/obo/BFO_0000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"independent continuant"@en	
<http://purl.obolibrary.org/obo/BFO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"continuant"@en	
<http://purl.obolibrary.org/obo/BFO_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"entity"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0617>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rarámuri"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0683>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zapotec in Mexico (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0051>	<http://www.w3.org/2000/01/rdf-schema#label>	"Australia/New Zealand"	
<http://purl.obolibrary.org/obo/HANCESTRO_0845>	<http://www.w3.org/2000/01/rdf-schema#label>	"Indigenous Siberian"	
<http://purl.obolibrary.org/obo/HANCESTRO_0452>	<http://www.w3.org/2000/01/rdf-schema#label>	"Emirati"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0290>	<http://www.w3.org/2000/01/rdf-schema#label>	"genetically isolated population"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0556>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cilento"	
<http://purl.obolibrary.org/obo/HANCESTRO_0787>	<http://www.w3.org/2000/01/rdf-schema#label>	"Brahui in Pakistan (SGDP)"	
