?cls	?xref
<http://dbpedia.org/resource/Malta>	"GAZ:00004017"
<http://dbpedia.org/resource/Kosovo>	"GAZ:00011337"
<http://dbpedia.org/resource/Tonga>	"GAZ:00006916"
<http://dbpedia.org/resource/Ghana>	"GAZ:00000908"
<http://dbpedia.org/resource/Channel_Islands>	"GAZ:00001539"
<http://dbpedia.org/resource/Namibia>	"GAZ:00001096"
<http://dbpedia.org/resource/Bulgaria>	"GAZ:00002950"
<http://dbpedia.org/resource/Greece>	"GAZ:00002945"
<http://dbpedia.org/resource/Guadeloupe>	"GAZ:00067135"
<http://dbpedia.org/resource/Malaysia>	"GAZ:00003902"
<http://dbpedia.org/resource/Pakistan>	"GAZ:00005246"
<http://dbpedia.org/resource/Guinea_Bissau>	"GAZ:00000910"
<http://dbpedia.org/resource/Venezuela>	"GAZ:00002931"
<http://dbpedia.org/resource/Saudi_Arabia>	"GAZ:00005279"
<http://dbpedia.org/resource/Georgia_(country)>	"GAZ:00004942"
<http://dbpedia.org/resource/Mauritius>	"GAZ:00003745"
<http://dbpedia.org/resource/Bolivia>	"GAZ:00002511"
<http://dbpedia.org/resource/Japan>	"GAZ:00002747"
<http://dbpedia.org/resource/Solomon_Islands>	"GAZ:00005275"
<http://dbpedia.org/resource/Czech_Republic>	"GAZ:00002954"
<http://dbpedia.org/resource/Curacao>	"GAZ:00012582"
<http://dbpedia.org/resource/Laos>	"GAZ:00006889"
<http://dbpedia.org/resource/Cyprus>	"GAZ:00453362"
<http://dbpedia.org/resource/Montenegro>	"GAZ:00006898"
<http://dbpedia.org/resource/American_Samoa>	"GAZ:00003957"
<http://dbpedia.org/resource/Falkland_Islands>	"GAZ:00001412"
<http://dbpedia.org/resource/Norfolk_Island>	"GAZ:00005913"
<http://dbpedia.org/resource/São_Tomé_and_Príncipe>	"GAZ:00006927"
<http://dbpedia.org/resource/Eswatini>	"GAZ:00001099"
<http://dbpedia.org/resource/Costa_Rica>	"GAZ:00002901"
<http://dbpedia.org/resource/Iceland>	"GAZ:00000843"
<http://dbpedia.org/resource/Togo>	"GAZ:00000915"
<http://dbpedia.org/resource/Kiribati>	"GAZ:00006894"
<http://dbpedia.org/resource/Gibraltar>	"GAZ:00003987"
<http://dbpedia.org/resource/Serbia>	"GAZ:00002957"
<http://dbpedia.org/resource/Albania>	"GAZ:00002953"
<http://dbpedia.org/resource/Paraguay>	"GAZ:00002933"
<http://dbpedia.org/resource/Austria>	"GAZ:00002942"
<http://dbpedia.org/resource/Seychelles>	"GAZ:00005821"
<http://dbpedia.org/resource/Tuvalu>	"GAZ:00009715"
<http://dbpedia.org/resource/Estonia>	"GAZ:00002959"
<http://dbpedia.org/resource/Dominica>	"GAZ:00006890"
<http://dbpedia.org/resource/Barbados>	"GAZ:00001251"
<http://dbpedia.org/resource/Myanmar>	"GAZ:00006899"
<http://dbpedia.org/resource/Saint_Pierre_and_Miquelon>	"GAZ:00003942"
<http://dbpedia.org/resource/Guam>	"GAZ:00006933"
<http://dbpedia.org/resource/Eritrea>	"GAZ:00000581"
<http://dbpedia.org/resource/Egypt>	"GAZ:00003934"
<http://dbpedia.org/resource/Fiji>	"GAZ:00006891"
<http://dbpedia.org/resource/Greenland>	"GAZ:00001507"
<http://dbpedia.org/resource/Morocco>	"GAZ:00000565"
<http://dbpedia.org/resource/Liberia>	"GAZ:00000911"
<http://dbpedia.org/resource/Ivory_Coast>	"GAZ:00000906"
<http://dbpedia.org/resource/Saint_Helena>	"GAZ:00000849"
<http://dbpedia.org/resource/Palau>	"GAZ:00006905"
<http://dbpedia.org/resource/Republic_of_Ireland>	"GAZ:00002943"
<http://dbpedia.org/resource/Burkina_Faso>	"GAZ:00000905"
<http://dbpedia.org/resource/Israel>	"GAZ:00002476"
<http://dbpedia.org/resource/Saint_Martin>	"GAZ:00005841"
<http://dbpedia.org/resource/Syria>	"GAZ:00002474"
<http://dbpedia.org/resource/Cameroon>	"GAZ:00001093"
<http://dbpedia.org/resource/Mali>	"GAZ:00000584"
<http://dbpedia.org/resource/Suriname>	"GAZ:00002525"
<http://dbpedia.org/resource/Rwanda>	"GAZ:00001087"
<http://dbpedia.org/resource/Tokelau>	"GAZ:00006914"
<http://dbpedia.org/resource/Armenia>	"GAZ:00004094"
<http://dbpedia.org/resource/Monaco>	"GAZ:00003857"
<http://dbpedia.org/resource/Belarus>	"GAZ:00006886"
<http://dbpedia.org/resource/Haiti>	"GAZ:00003953"
<http://dbpedia.org/resource/Trinidad_and_Tobago>	"GAZ:00003767"
<http://dbpedia.org/resource/Christmas_Island>	"GAZ:00005915"
<http://dbpedia.org/resource/Botswana>	"GAZ:00001097"
<http://dbpedia.org/resource/Bermuda>	"GAZ:00001264"
<http://dbpedia.org/resource/Peru>	"GAZ:00002932"
<http://dbpedia.org/resource/El_Salvador>	"GAZ:00002935"
<http://dbpedia.org/resource/Russia>	"GAZ:00002721"
<http://dbpedia.org/resource/Gabon>	"GAZ:00001092"
<http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines>	"GAZ:02000565"
<http://dbpedia.org/resource/Mongolia>	"GAZ:00008744"
<http://dbpedia.org/resource/Comoros>	"GAZ:00005820"
<http://dbpedia.org/resource/Uzbekistan>	"GAZ:00004979"
<http://dbpedia.org/resource/South_Sudan>	"GAZ:00233439"
<http://dbpedia.org/resource/France>	"GAZ:00002940"
<http://dbpedia.org/resource/Tanzania>	"GAZ:00001103"
<http://dbpedia.org/resource/Iran>	"GAZ:00004474"
<http://dbpedia.org/resource/Ethiopia>	"GAZ:00000567"
<http://dbpedia.org/resource/French_Polynesia>	"GAZ:00002918"
