ID,Type,Label,Parent
ID,TYPE,A rdfs:label,SC %
RO:0000086,object property,has quality,
HANCESTRO:0599,class,,
AfPO:0000180,class,Seychellois,
AfPO:0000351,class,Swazi,
AfPO:0000365,class,Egyptian,
AfPO:0000389,class,Somali,
AfPO:0000056,class,Maasai,('has quality' some HANCESTRO:0599)
AfPO:0000057,class,Samburu,('has quality' some HANCESTRO:0599)
AfPO:0000058,class,Tiv,('has quality' some HANCESTRO:0599)
AfPO:0000060,class,Nama,('has quality' some HANCESTRO:0599)
AfPO:0000064,class,Susu,('has quality' some HANCESTRO:0599)
AfPO:0000066,class,Taveta,('has quality' some HANCESTRO:0599)
AfPO:0000067,class,Bassa,('has quality' some HANCESTRO:0599)
AfPO:0000069,class,Zulu,('has quality' some HANCESTRO:0599)
AfPO:0000071,class,Dinka,('has quality' some HANCESTRO:0599)
AfPO:0000074,class,Bambara,('has quality' some HANCESTRO:0599)
AfPO:0000075,class,Sebei,('has quality' some HANCESTRO:0599)
AfPO:0000080,class,Masalit,('has quality' some HANCESTRO:0599)
AfPO:0000084,class,Bulu,('has quality' some HANCESTRO:0599)
AfPO:0000085,class,Taita,('has quality' some HANCESTRO:0599)
AfPO:0000087,class,Igbo,('has quality' some HANCESTRO:0599)
AfPO:0000088,class,Kikuyu,('has quality' some HANCESTRO:0599)
AfPO:0000091,class,Terik,('has quality' some HANCESTRO:0599)
AfPO:0000095,class,Anuak,('has quality' some HANCESTRO:0599)
AfPO:0000098,class,Nandi,('has quality' some HANCESTRO:0599)
AfPO:0000102,class,Lunda,('has quality' some HANCESTRO:0599)
AfPO:0000103,class,Tsonga,('has quality' some HANCESTRO:0599)
AfPO:0000104,class,Fulani,('has quality' some HANCESTRO:0599)
AfPO:0000105,class,Yoruba,('has quality' some HANCESTRO:0599)
AfPO:0000107,class,Zaghawa,('has quality' some HANCESTRO:0599)
AfPO:0000109,class,Tugen,('has quality' some HANCESTRO:0599)
AfPO:0000112,class,Meru,('has quality' some HANCESTRO:0599)
AfPO:0000113,class,Oromo,('has quality' some HANCESTRO:0599)
AfPO:0000115,class,Fur,('has quality' some HANCESTRO:0599)
AfPO:0000116,class,Xhosa,('has quality' some HANCESTRO:0599)
AfPO:0000121,class,Minianka,('has quality' some HANCESTRO:0599)
AfPO:0000123,class,Herero,('has quality' some HANCESTRO:0599)
AfPO:0000125,class,Hausa,('has quality' some HANCESTRO:0599)
AfPO:0000126,class,Nuer,('has quality' some HANCESTRO:0599)
AfPO:0000127,class,Mijikenda,('has quality' some HANCESTRO:0599)
AfPO:0000128,class,Fang,('has quality' some HANCESTRO:0599)
AfPO:0000131,class,Mossi,('has quality' some HANCESTRO:0599)
AfPO:0000132,class,Bemba,('has quality' some HANCESTRO:0599)
AfPO:0000134,class,Kamba,('has quality' some HANCESTRO:0599)
AfPO:0000135,class,Rendille,('has quality' some HANCESTRO:0599)
AfPO:0000136,class,Ga-Adangbe,('has quality' some HANCESTRO:0599)
AfPO:0000139,class,Bulsa,('has quality' some HANCESTRO:0599)
AfPO:0000140,class,Chewa,('has quality' some HANCESTRO:0599)
AfPO:0000141,class,Soninke,('has quality' some HANCESTRO:0599)
AfPO:0000142,class,Tswana,('has quality' some HANCESTRO:0599)
AfPO:0000145,class,Tuareg,('has quality' some HANCESTRO:0599)
AfPO:0000147,class,Dagomba,('has quality' some HANCESTRO:0599)
AfPO:0000148,class,Kusasi,('has quality' some HANCESTRO:0599)
AfPO:0000149,class,Frafra,('has quality' some HANCESTRO:0599)
AfPO:0000150,class,Gurunsi,('has quality' some HANCESTRO:0599)
AfPO:0000151,class,Gurma,('has quality' some HANCESTRO:0599)
AfPO:0000153,class,Dagaaba,('has quality' some HANCESTRO:0599)
AfPO:0000161,class,Dyula,('has quality' some HANCESTRO:0599)
AfPO:0000168,class,Bihari Mauritian,('has quality' some HANCESTRO:0599)
AfPO:0000170,class,Mauritian Creole,('has quality' some HANCESTRO:0599)
AfPO:0000171,class,Tamil,('has quality' some HANCESTRO:0599)
AfPO:0000179,class,Nankani,('has quality' some HANCESTRO:0599)
AfPO:0000183,class,Khoisan Eastern,('has quality' some HANCESTRO:0599)
AfPO:0000184,class,Semitic Eastern,('has quality' some HANCESTRO:0599)
AfPO:0000185,class,Semite Northern,('has quality' some HANCESTRO:0599)
AfPO:0000186,class,Semite Central,('has quality' some HANCESTRO:0599)
AfPO:0000187,class,Pygmy Eastern,('has quality' some HANCESTRO:0599)
AfPO:0000189,class,Berber Western,('has quality' some HANCESTRO:0599)
AfPO:0000190,class,Nubian Eastern,('has quality' some HANCESTRO:0599)
AfPO:0000191,class,Mattokki,('has quality' some HANCESTRO:0599)
AfPO:0000194,class,Banda,('has quality' some HANCESTRO:0599)
AfPO:0000195,class,Mahas,('has quality' some HANCESTRO:0599)
