Label	Synonym
A rdfs:label	A has_exact_synonym
Bantu in Kenya (HGDP)	Bantu Kenya
Bantu in South Africa (HGDP)	Bantu South Africa
Biaka in Central African Republic (HGDP)	Biaka
Mandenka in Senegal (HGDP)	Mandenka
Mbuti in Democratic Republic of Congo (HGDP)	Mbuti
San in Namibia (HGDP)	San
Yoruba in Nigeria (HGDP)	Yoruba
Bantu Herero in Botswana Or Namibia (SGDP)	Bantu Herero
Bantu Kenya in Kenya (SGDP)	Bantu Kenya
Bantu Tswana in Botswana Or Namibia (SGDP)	Bantu Tswana
Biaka in Central African Republic (SGDP)	Biaka
Dinka in Sudan (SGDP)	Dinka
Esan in Nigeria (SGDP)	Esan
Gambian in Gambia (SGDP)	Gambian
Ju|'hoan North in Namibia (SGDP)	Ju|'hoan North
Khomani San in South Africa (SGDP)	Khomani San
Luhya in Kenya (SGDP)	Luhya
Luo in Kenya (SGDP)	Luo
Mandenka in Senegal (SGDP)	Mandenka
Masai in Kenya	Masai
Mbuti in Congo (SGDP)	Mbuti
Mende in Sierra Leone (SGDP)	Mende
Mozabite in Algeria (SGDP)	Mozabite
Saharawi in Western Sahara (Morocco) (SGDP)	Saharawi
Somali in Kenya (SGDP)	Somali
Yoruba in Nigeria (SGDP)	Yoruba
African Ancestry in Southwest US	African Ancestry SW
African Caribbean in Barbados	African Caribbean
Esan in Nigeria	Esan
Gambian in Western Division, The Gambia - Fula	Gambian Fula
Gambian in Western Division, The Gambia - Jola	Gambian Jola
Gambian in Western Division, The Gambia - Mandinka	Gambian Mandinka
Gambian in Western Division, The Gambia - Wolof	Gambian Wolof
Luhya in Webuye, Kenya	Luhya
Mende in Sierra Leone	Mende
Yoruba in Ibadan, Nigeria	Yoruba
Colombian in Colombia (HGDP)	Colombian
Karitiana in Brazil (HGDP)	Karitiana
Maya in Mexico (HGDP)	Maya
Pima in Mexico (HGDP)	Pima
Surui in Brazil (HGDP)	Surui
Chane in Argentina (SGDP)	Chane
Karitiana in Brazil (SGDP)	Karitiana
Mayan in Mexico (SGDP)	Mayan
Mixe in Mexico (SGDP)	Mixe
Mixtec in Mexico (SGDP)	Mixtec
Piapoco in Colombia (SGDP)	Piapoco
Pima in Mexico (SGDP)	Pima
Quechua in Peru (SGDP)	Quechua
Surui in Brazil (SGDP)	Surui
Zapotec in Mexico (SGDP)	Zapotec
Colombian in Medellin, Colombia	Colombian
Mexican Ancestry in Los Angeles, California	Mexican Ancestry
