ID	Type	Parent	Label	Definition	Synonym	EthnicGroup	Superpopulation	CountryOfOrigin
ID	TYPE	SC %	A rdfs:label	A definition	A has_exact_synonym	SC 'partially overlaps ' some %	SC % SPLIT=|	SC hasCountryOfOrigin some % SPLIT=|
HANCESTRO:0632	class	population	reference population	A population made of individuals from whom samples were collected as part of a project such as the 1000 Genomes Project or the Human Genome Diversity Project (HDGP) in order to establish a comprehensive overview of human genetic diversity. Sample sizes for these reference populations vary from 1-3 to 100s of individuals but all individuals in a population will have been sampled in the same location. Each population is allocated to a continental or sub-continental superpopulation such as European or African. Subsets of samples from a reference population may have been used in multiple different analyses.				
HANCESTRO:0633	class	reference population	Bantu in Kenya (HGDP)	A population made up of 10 samples from Bantu individuals recruited in Kenya as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Bantu Eastern	African	Kenya
HANCESTRO:0634	class	reference population	Bantu in South Africa (HGDP)	A population made up of 4 samples from Bantu individuals recruited in South Africa as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Bantu Southern	African	South Africa
HANCESTRO:0635	class	reference population	Biaka in Central African Republic (HGDP)	A population made up of 24 samples from Biaka individuals recruited in Central African Republic as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Aka	African	Central African Republic
HANCESTRO:0636	class	reference population	Mandenka in Senegal (HGDP)	A population made up of 20 samples from Mandenka individuals recruited in Senegal as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Mandinka	African	Senegal
HANCESTRO:0637	class	reference population	Mbuti in Democratic Republic of Congo (HGDP)	A population made up of 13 samples from Mbuti individuals recruited in Democratic Republic of Congo as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African. Samples from this population were used in data collections  for HGDP Transcriptome.		Mbuti	African	Democratic Republic of the Congo
HANCESTRO:0638	class	reference population	San in Namibia (HGDP)	A population made up of 4 samples from San individuals recruited in Namibia as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African. 		San	African	Namibia
HANCESTRO:0639	class	reference population	Yoruba in Nigeria (HGDP)	A population made up of 18 samples from Yoruba individuals recruited in Nigeria as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Yoruba	African	Nigeria
HANCESTRO:0640	class	reference population	Bantu Herero in Botswana Or Namibia (SGDP)	A population made up of 2 samples from Bantu Herero individuals recruited in Botswana Or Namibia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Herero	African	Botswana|Namibia
HANCESTRO:0641	class	reference population	Bantu Kenya in Kenya (SGDP)	A population made up of 2 samples from Bantu Kenya individuals recruited in Kenya as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Bantu Eastern	African	Kenya
HANCESTRO:0642	class	reference population	Bantu Tswana in Botswana Or Namibia (SGDP)	A population made up of 2 samples from Bantu Tswana individuals recruited in Botswana Or Namibia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Tswana	African	Botswana|Namibia
HANCESTRO:0643	class	reference population	Biaka in Central African Republic (SGDP)	A population made up of 2 samples from Biaka individuals recruited in Central African Republic as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Aka	African	Central African Republic
HANCESTRO:0644	class	reference population	Dinka in Sudan (SGDP)	A population made up of 3 samples from Dinka individuals recruited in Sudan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Dinka	African	Sudan
HANCESTRO:0645	class	reference population	Esan in Nigeria (SGDP)	A population made up of 2 samples from Esan individuals recruited in Nigeria as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Esan	African	Nigeria
HANCESTRO:0646	class	reference population	Gambian in Gambia (SGDP)	A population made up of 2 samples from Gambian individuals recruited in Gambia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Gambian	African	The Gambia
HANCESTRO:0647	class	reference population	Ju|'hoan North in Namibia (SGDP)	A population made up of 4 samples from Ju|'hoan North individuals recruited in Namibia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		!Kung	African	Namibia
HANCESTRO:0648	class	reference population	Khomani San in South Africa (SGDP)	A population made up of 2 samples from Khomani San individuals recruited in South Africa as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		San	African	South Africa
HANCESTRO:0649	class	reference population	Luhya in Kenya (SGDP)	A population made up of 2 samples from Luhya individuals recruited in Kenya as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Luhya	African	Kenya
HANCESTRO:0650	class	reference population	Luo in Kenya (SGDP)	A population made up of 2 samples from Luo individuals recruited in Kenya as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Luo	African	Kenya
HANCESTRO:0651	class	reference population	Mandenka in Senegal (SGDP)	A population made up of 3 samples from Mandenka individuals recruited in Senegal as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Mandinka	African	Senegal
HANCESTRO:0652	class	reference population	Masai in Kenya	A population made up of 3 samples from Masai individuals recruited in Kenya as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African. 	MKK	Maasai	African	Kenya
HANCESTRO:0653	class	reference population	Mbuti in Congo (SGDP)	A population made up of 4 samples from Mbuti individuals recruited in Congo as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Mbuti	African	Democratic Republic of the Congo
HANCESTRO:0654	class	reference population	Mende in Sierra Leone (SGDP)	A population made up of 2 samples from Mende individuals recruited in Sierra Leone as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Mende	African	Sierra Leone
HANCESTRO:0655	class	reference population	Mozabite in Algeria (SGDP)	A population made up of 2 samples from Mozabite individuals recruited in Algeria as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Mozabite	African|Greater Middle Eastern  (Middle Eastern or North African or Persian)	Algeria
HANCESTRO:0656	class	reference population	Saharawi in Western Sahara (Morocco) (SGDP)	A population made up of 2 samples from Saharawi individuals recruited in Western Sahara (Morocco) as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Sahrawi	African|Greater Middle Eastern  (Middle Eastern or North African or Persian)	Western Sahara
HANCESTRO:0657	class	reference population	Somali in Kenya (SGDP)	A population made up of 1 samples from Somali individuals recruited in Kenya as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Somali	African	Kenya
HANCESTRO:0658	class	reference population	Yoruba in Nigeria (SGDP)	A population made up of 3 samples from Yoruba individuals recruited in Nigeria as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation African.		Yoruba	African	Nigeria
HANCESTRO:0659	class	reference population	African Ancestry in Southwest US	A population made up of 113 samples from African Ancestry individuals recruited in Southwest US as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation African. 	ASW		African|African American or Afro-Caribbean	United States
HANCESTRO:0660	class	reference population	African Caribbean in Barbados	A population made up of 123 samples from African Caribbean individuals recruited in Barbados as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation African. 	ACB	Afro-Caribbean	African|African American or Afro-Caribbean	Barbados
HANCESTRO:0661	class	reference population	Esan in Nigeria	A population made up of 173 samples from Esan individuals recruited in Nigeria as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation African. 	ESN	Esan	African	Nigeria
HANCESTRO:0662	class	reference population	"Gambian in Western Division, The Gambia - Fula"	"A population made up of 100 samples from Fula individuals recruited in Western Division, The Gambia as part of the Gambian Genome Variation Project. The population was assigned by the collecting project to the superpopulation African. "	GWF	Fulani	African	The Gambia
HANCESTRO:0663	class	reference population	"Gambian in Western Division, The Gambia - Jola"	"A population made up of 100 samples from Jola individuals recruited in Western Division, The Gambia as part of the Gambian Genome Variation Project. The population was assigned by the collecting project to the superpopulation African. "	GWJ	Jola	African	The Gambia
HANCESTRO:0664	class	reference population	"Gambian in Western Division, The Gambia - Mandinka"	"A population made up of 280 samples from Mandinka individuals recruited in Western Division, The Gambia as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation African. "	GWD	Mandinka	African	The Gambia
HANCESTRO:0665	class	reference population	"Gambian in Western Division, The Gambia - Wolof"	"A population made up of 100 samples from Wolof individuals recruited in Western Division, The Gambia as part of the Gambian Genome Variation Project. The population was assigned by the collecting project to the superpopulation African. "	GWW	Wolof	African	The Gambia
HANCESTRO:0666	class	reference population	"Luhya in Webuye, Kenya"	"A population made up of 117 samples from Luhya individuals recruited in Webuye, Kenya as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation African. "	LWK	Luhya	African	Kenya
HANCESTRO:0667	class	reference population	Mende in Sierra Leone	A population made up of 129 samples from Mende individuals recruited in Sierra Leone as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation African. 	MSL	Mende	African	Sierra Leone
HANCESTRO:0668	class	reference population	"Yoruba in Ibadan, Nigeria"	"A population made up of 187 samples from Yoruba individuals recruited in Ibadan, Nigeria as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation African. "	YRI	Yoruba	African	Nigeria
HANCESTRO:0669	class	reference population	Colombian in Colombia (HGDP)	A population made up of 5 samples from Colombian individuals recruited in Colombia as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.		Colombian	Latin or Admixed American	Colombia
HANCESTRO:0670	class	reference population	Karitiana in Brazil (HGDP)	A population made up of 9 samples from Karitiana individuals recruited in Brazil as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.			Latin or Admixed American|Indigenous American	Brazil
HANCESTRO:0671	class	reference population	Maya in Mexico (HGDP)	A population made up of 21 samples from Maya individuals recruited in Mexico as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American. 		Maya	Latin or Admixed American|Indigenous American	Mexico
HANCESTRO:0672	class	reference population	Pima in Mexico (HGDP)	A population made up of 12 samples from Pima individuals recruited in Mexico as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.		"""Akimel O'odham"""	Latin or Admixed American|Indigenous American	Mexico
HANCESTRO:0673	class	reference population	Surui in Brazil (HGDP)	A population made up of 6 samples from Surui individuals recruited in Brazil as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.			Latin or Admixed American|Indigenous American	Brazil
HANCESTRO:0674	class	reference population	Chane in Argentina (SGDP)	A population made up of 1 samples from Chane individuals recruited in Argentina as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.			Latin or Admixed American|Indigenous American	Argentina
HANCESTRO:0675	class	reference population	Karitiana in Brazil (SGDP)	A population made up of 3 samples from Karitiana individuals recruited in Brazil as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.			Latin or Admixed American|Indigenous American	Brazil
HANCESTRO:0676	class	reference population	Mayan in Mexico (SGDP)	A population made up of 2 samples from Mayan individuals recruited in Mexico as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.		Maya	Latin or Admixed American|Indigenous American	Mexico
HANCESTRO:0677	class	reference population	Mixe in Mexico (SGDP)	A population made up of 3 samples from Mixe individuals recruited in Mexico as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.			Latin or Admixed American|Indigenous American	Mexico
HANCESTRO:0678	class	reference population	Mixtec in Mexico (SGDP)	A population made up of 2 samples from Mixtec individuals recruited in Mexico as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Latin or Admixed American.		Mixteco	Latin or Admixed American|Indigenous American	Mexico
